name,description,temp,tempf,humidity,visibility,windspeed,clouds,time,sunrise,sunset
Powys,light rain,8.52,6.4,96,10000,3.58,100,03-21-2023 00:29,06:14:28,18:26:34
Powys,overcast clouds,8.52,6.57,97,10000,3.28,100,03-21-2023 00:59,06:14:28,18:26:34
Powys,overcast clouds,8.52,6.57,97,10000,3.28,100,03-21-2023 01:29,06:14:28,18:26:34
Powys,light rain,8.44,6.48,96,10000,3.27,100,03-21-2023 01:59,06:14:28,18:26:34
Powys,light rain,8.52,6.57,96,10000,3.27,100,03-21-2023 02:29,06:14:28,18:26:34
Powys,light rain,8.52,6.15,97,8996,4.07,100,03-21-2023 02:59,06:14:28,18:26:34
Powys,overcast clouds,8.44,6.05,97,8996,4.07,100,03-21-2023 03:29,06:14:28,18:26:34
Powys,overcast clouds,8.44,5.58,93,10000,5.14,100,03-21-2023 03:59,06:14:28,18:26:34
Powys,overcast clouds,8.49,5.64,93,10000,5.14,100,03-21-2023 04:29,06:14:28,18:26:34
Powys,moderate rain,8.08,4.7,89,10000,6.3,100,03-21-2023 04:59,06:14:28,18:26:34
Powys,light rain,8.44,5.43,92,10000,5.54,100,03-21-2023 05:30,06:14:28,18:26:34
Powys,overcast clouds,8.44,5.43,92,10000,5.54,100,03-21-2023 06:00,06:14:28,18:26:34
Powys,light rain,8.44,5.44,93,10000,5.51,100,03-21-2023 06:30,06:14:28,18:26:34
Powys,light rain,8.52,5.54,93,10000,5.51,100,03-21-2023 07:00,06:14:28,18:26:34
Powys,light rain,8.57,5.51,94,10000,5.77,100,03-21-2023 07:30,06:14:28,18:26:34
Powys,overcast clouds,8.95,5.99,94,10000,5.77,100,03-21-2023 08:00,06:14:28,18:26:34
Powys,overcast clouds,9,5.7,94,10000,6.84,100,03-21-2023 08:30,06:14:28,18:26:34
Powys,overcast clouds,9.2,5.96,94,10000,6.84,100,03-21-2023 09:00,06:14:28,18:26:34
Powys,overcast clouds,9.79,6.45,89,10000,7.79,99,03-21-2023 09:30,06:14:28,18:26:34
Powys,overcast clouds,10.68,10.08,87,10000,8.77,94,03-21-2023 10:00,06:14:28,18:26:34
Powys,light rain,10.46,9.91,90,10000,7.81,95,03-21-2023 10:30,06:14:28,18:26:34
Powys,overcast clouds,10.86,10.35,90,10000,7.81,95,03-21-2023 11:00,06:14:28,18:26:34
Powys,overcast clouds,10.86,10.27,87,10000,8.89,96,03-21-2023 11:30,06:14:28,18:26:34
Powys,light rain,10.96,10.38,87,10000,8.89,96,03-21-2023 12:00,06:14:28,18:26:34
Powys,overcast clouds,11.03,10.46,87,10000,8.89,96,03-21-2023 12:29,06:14:28,18:26:34
Powys,overcast clouds,10.82,10.23,87,10000,8.2,100,03-21-2023 13:00,06:14:28,18:26:34
Powys,overcast clouds,10.52,9.9,87,10000,8.2,100,03-21-2023 13:30,06:14:28,18:26:34
Powys,light rain,11.38,10.61,78,10000,8.29,100,03-21-2023 13:59,06:14:28,18:26:34
Powys,light rain,11.26,10.48,78,10000,8.29,100,03-21-2023 14:29,06:14:28,18:26:34
Powys,overcast clouds,10.59,9.85,82,10000,7.68,100,03-21-2023 15:00,06:14:28,18:26:34
Powys,overcast clouds,10.1,9.31,82,10000,7.68,100,03-21-2023 15:30,06:14:28,18:26:34
Powys,light rain,9.95,6.66,84,10000,7.79,98,03-21-2023 16:00,06:14:28,18:26:34
Powys,overcast clouds,9.95,6.67,84,10000,7.76,96,03-21-2023 16:30,06:14:28,18:26:34
Powys,overcast clouds,9.49,6.07,84,10000,7.76,96,03-21-2023 17:00,06:14:28,18:26:34
Powys,light rain,8.93,5.35,84,10000,7.76,96,03-21-2023 17:29,06:14:28,18:26:34
Powys,light rain,8.88,5.31,87,10000,7.67,96,03-21-2023 18:00,06:14:28,18:26:34
Powys,light rain,8.77,5.16,87,10000,7.67,96,03-21-2023 18:30,06:14:28,18:26:34
Powys,light rain,8.33,4.35,86,10000,8.56,100,03-21-2023 19:00,06:14:28,18:26:34
Powys,overcast clouds,8.33,4.35,86,10000,8.56,100,03-21-2023 19:29,06:14:28,18:26:34
Powys,overcast clouds,8.33,4.24,87,10000,8.99,100,03-21-2023 19:59,06:14:28,18:26:34
Powys,light rain,8.72,4.84,89,10000,8.64,100,03-21-2023 20:30,06:14:28,18:26:34
Powys,light rain,8.72,4.84,89,10000,8.64,100,03-21-2023 20:59,06:14:28,18:26:34
Powys,light rain,8.73,4.85,89,10000,8.64,100,03-21-2023 21:29,06:14:28,18:26:34
Powys,overcast clouds,8.73,4.84,90,10000,8.71,100,03-21-2023 22:00,06:14:28,18:26:34
Powys,light rain,8.73,4.84,90,10000,8.71,100,03-21-2023 22:29,06:14:28,18:26:34
Powys,light rain,8.81,4.91,92,8750,8.84,100,03-21-2023 23:00,06:14:28,18:26:34
Powys,light rain,8.64,4.65,93,8446,8.99,100,03-21-2023 23:29,06:14:28,18:26:34
Powys,light rain,8.6,4.44,92,7499,9.62,100,03-21-2023 23:59,06:14:28,18:26:34
Powys,light rain,8.56,4.39,92,7499,9.62,100,03-22-2023 00:29,06:12:07,18:28:18
Powys,light rain,8.56,4.35,93,9545,9.82,100,03-22-2023 00:59,06:12:07,18:28:18
Powys,light rain,8.95,4.86,93,9545,9.82,100,03-22-2023 01:29,06:12:07,18:28:18
Powys,moderate rain,8.95,4.74,94,6290,10.37,100,03-22-2023 01:59,06:12:07,18:28:18
Powys,light rain,8.95,4.74,94,6290,10.37,100,03-22-2023 02:29,06:12:07,18:28:18
Powys,light rain,9.42,5.65,95,10000,9.1,100,03-22-2023 02:59,06:12:07,18:28:18
Powys,light rain,9.47,5.71,95,10000,9.1,100,03-22-2023 03:29,06:12:07,18:28:18
Powys,light rain,9.54,5.74,92,10000,9.39,100,03-22-2023 03:59,06:12:07,18:28:18
Powys,overcast clouds,9.16,5.24,92,10000,9.39,100,03-22-2023 04:29,06:12:07,18:28:18
Powys,overcast clouds,7.98,3.72,88,10000,9.22,100,03-22-2023 04:59,06:12:07,18:28:18
Powys,overcast clouds,7.33,2.87,88,10000,9.22,100,03-22-2023 05:29,06:12:07,18:28:18
Powys,overcast clouds,7.22,2.89,88,10000,8.6,97,03-22-2023 05:59,06:12:07,18:28:18
Powys,overcast clouds,6.66,2.16,88,10000,8.6,97,03-22-2023 06:29,06:12:07,18:28:18
Powys,clear sky,6.11,1.89,89,10000,7.15,2,03-22-2023 06:59,06:12:07,18:28:18
Powys,clear sky,6.03,1.79,89,10000,7.15,2,03-22-2023 07:29,06:12:07,18:28:18
Powys,clear sky,6.98,3.12,89,10000,6.8,3,03-22-2023 07:59,06:12:07,18:28:18
Powys,clear sky,7.61,3.93,89,10000,6.8,3,03-22-2023 08:29,06:12:07,18:28:18
Powys,clear sky,8.29,4.78,82,10000,6.87,2,03-22-2023 08:59,06:12:07,18:28:18
Powys,clear sky,8.76,5.39,82,10000,6.87,2,03-22-2023 09:29,06:12:07,18:28:18
Powys,clear sky,9.4,6.04,72,10000,7.45,2,03-22-2023 09:59,06:12:07,18:28:18
Powys,clear sky,9.72,6.45,72,10000,7.45,2,03-22-2023 10:29,06:12:07,18:28:18
Powys,clear sky,10.47,9.27,65,10000,8.56,3,03-22-2023 10:59,06:12:07,18:28:18
Powys,clear sky,10.31,9.09,65,10000,8.56,3,03-22-2023 11:29,06:12:07,18:28:18
Powys,clear sky,10.98,9.96,70,10000,9.6,8,03-22-2023 11:59,06:12:07,18:28:18
Powys,clear sky,11.23,10.26,71,10000,9.55,6,03-22-2023 12:29,06:12:07,18:28:18
Powys,broken clouds,11.2,10.39,77,10000,10.04,55,03-22-2023 12:59,06:12:07,18:28:18
Powys,broken clouds,11.57,10.79,77,10000,10.04,55,03-22-2023 13:29,06:12:07,18:28:18
Powys,scattered clouds,11.57,10.87,80,10000,10.11,49,03-22-2023 13:59,06:12:07,18:28:18
Powys,light rain,11.89,11.25,81,10000,9.14,60,03-22-2023 14:30,06:12:07,18:28:18
Powys,broken clouds,11.51,10.83,81,10000,9.14,60,03-22-2023 15:00,06:12:07,18:28:18
Powys,light rain,10.98,10.25,81,10000,8.71,47,03-22-2023 15:30,06:12:07,18:28:18
Powys,light rain,10.08,9.26,81,10000,8.71,47,03-22-2023 16:00,06:12:07,18:28:18
Powys,scattered clouds,9.39,5.59,82,10000,9.18,45,03-22-2023 16:30,06:12:07,18:28:18
Powys,scattered clouds,9.94,6.31,82,10000,9.18,45,03-22-2023 17:00,06:12:07,18:28:18
Powys,moderate rain,9.4,5.83,89,10000,8.24,54,03-22-2023 17:30,06:12:07,18:28:18
Powys,light rain,8.88,5.15,89,10000,8.24,54,03-22-2023 18:00,06:12:07,18:28:18
Powys,moderate rain,8.8,5.21,93,10000,7.63,100,03-22-2023 18:30,06:12:07,18:28:18
Powys,light rain,8.33,4.64,91,10000,7.51,100,03-22-2023 19:00,06:12:07,18:28:18
Powys,overcast clouds,8.17,3.89,92,7417,9.56,100,03-22-2023 19:30,06:12:07,18:28:18
Powys,heavy intensity rain,8.09,3.79,92,7417,9.56,100,03-22-2023 20:00,06:12:07,18:28:18
